VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
       700    0x01    0x00    0x01    0x2b    0x2b
       704    0x00    0x00    0x01    0x2b    0x2b
       708    0x01    0x01    0x01    0x2b    0x2b
       712    0x00    0x01    0x01    0x2b    0x2b
       716    0x01    0x00    0x01    0x2c    0x2c
       720    0x00    0x00    0x01    0x2c    0x2c
       724    0x01    0x01    0x01    0x2c    0x2c
       728    0x00    0x01    0x01    0x2c    0x2c
       732    0x01    0x00    0x01    0x2d    0x2d
       736    0x00    0x00    0x01    0x2d    0x2d
       740    0x01    0x01    0x01    0x2d    0x2d
       744    0x00    0x01    0x01    0x2d    0x2d
       748    0x01    0x00    0x01    0x2e    0x2e
       752    0x00    0x00    0x01    0x2e    0x2e
       756    0x01    0x01    0x01    0x2e    0x2e
       760    0x00    0x01    0x01    0x2e    0x2e
       764    0x01    0x00    0x01    0x2f    0x2f
       768    0x00    0x00    0x01    0x2f    0x2f
       772    0x01    0x01    0x01    0x2f    0x2f
       776    0x00    0x01    0x01    0x2f    0x2f
       780    0x01    0x00    0x01    0x30    0x30
       784    0x00    0x00    0x01    0x30    0x30
       788    0x01    0x01    0x01    0x30    0x30
       792    0x00    0x01    0x01    0x30    0x30
       796    0x01    0x00    0x01    0x31    0x31
       800    0x00    0x00    0x01    0x31    0x31
       804    0x01    0x01    0x01    0x31    0x31
       808    0x00    0x01    0x01    0x31    0x31
       812    0x01    0x00    0x01    0x32    0x32
       816    0x00    0x00    0x01    0x32    0x32
       820    0x01    0x01    0x01    0x32    0x32
       824    0x00    0x01    0x01    0x32    0x32
       828    0x01    0x00    0x01    0x33    0x33
       832    0x00    0x00    0x01    0x33    0x33
       836    0x01    0x01    0x01    0x33    0x33
       840    0x00    0x01    0x01    0x33    0x33
       844    0x01    0x00    0x01    0x34    0x34
       848    0x00    0x00    0x01    0x34    0x34
       852    0x01    0x01    0x01    0x34    0x34
       856    0x00    0x01    0x01    0x34    0x34
       860    0x01    0x00    0x01    0x35    0x35
       864    0x00    0x00    0x01    0x35    0x35
       868    0x01    0x01    0x01    0x35    0x35
       872    0x00    0x01    0x01    0x35    0x35
       876    0x01    0x00    0x01    0x36    0x36
       880    0x00    0x00    0x01    0x36    0x36
       884    0x01    0x01    0x01    0x36    0x36
       888    0x00    0x01    0x01    0x36    0x36
       892    0x01    0x00    0x01    0x37    0x37
       896    0x00    0x00    0x01    0x37    0x37
       900    0x01    0x01    0x01    0x37    0x37
       904    0x00    0x01    0x01    0x37    0x37
       908    0x01    0x00    0x01    0x38    0x38
       912    0x00    0x00    0x01    0x38    0x38
       916    0x01    0x01    0x01    0x38    0x38
       920    0x00    0x01    0x01    0x38    0x38
       924    0x01    0x00    0x01    0x39    0x39
       928    0x00    0x00    0x01    0x39    0x39
       932    0x01    0x01    0x01    0x39    0x39
       936    0x00    0x01    0x01    0x39    0x39
       940    0x01    0x00    0x01    0x3a    0x3a
       944    0x00    0x00    0x01    0x3a    0x3a
       948    0x01    0x01    0x01    0x3a    0x3a
       952    0x00    0x01    0x01    0x3a    0x3a
       956    0x01    0x00    0x01    0x3b    0x3b
       960    0x00    0x00    0x01    0x3b    0x3b
       964    0x01    0x01    0x01    0x3b    0x3b
       968    0x00    0x01    0x01    0x3b    0x3b
       972    0x01    0x00    0x01    0x3c    0x3c
       976    0x00    0x00    0x01    0x3c    0x3c
       980    0x01    0x01    0x01    0x3c    0x3c
       984    0x00    0x01    0x01    0x3c    0x3c
       988    0x01    0x00    0x01    0x3d    0x3d
       992    0x00    0x00    0x01    0x3d    0x3d
       996    0x01    0x01    0x01    0x3d    0x3d
      1000    0x00    0x01    0x01    0x3d    0x3d
      1004    0x01    0x00    0x01    0x3e    0x3e
      1008    0x00    0x00    0x01    0x3e    0x3e
      1012    0x01    0x01    0x01    0x3e    0x3e
      1016    0x00    0x01    0x01    0x3e    0x3e
      1020    0x01    0x00    0x01    0x3f    0x3f
      1024    0x00    0x00    0x01    0x3f    0x3f
      1028    0x01    0x01    0x01    0x3f    0x3f
      1032    0x00    0x01    0x01    0x3f    0x3f
      1036    0x01    0x00    0x01    0x40    0x40
      1040    0x00    0x00    0x01    0x40    0x40
      1044    0x01    0x01    0x01    0x40    0x40
      1048    0x00    0x01    0x01    0x40    0x40
      1052    0x01    0x00    0x01    0x41    0x41
      1056    0x00    0x00    0x01    0x41    0x41
      1060    0x01    0x01    0x01    0x41    0x41
      1064    0x00    0x01    0x01    0x41    0x41
      1068    0x01    0x00    0x01    0x42    0x42
      1072    0x00    0x00    0x01    0x42    0x42
      1076    0x01    0x01    0x01    0x42    0x42
      1080    0x00    0x01    0x01    0x42    0x42
      1084    0x01    0x00    0x01    0x43    0x43
      1088    0x00    0x00    0x01    0x43    0x43
      1092    0x01    0x01    0x01    0x43    0x43
      1096    0x00    0x01    0x01    0x43    0x43
      1100    0x01    0x00    0x01    0x44    0x44
      1104    0x00    0x00    0x01    0x44    0x44
      1108    0x01    0x01    0x01    0x44    0x44
      1112    0x00    0x01    0x01    0x44    0x44
      1116    0x01    0x00    0x01    0x45    0x45
      1120    0x00    0x00    0x01    0x45    0x45
      1124    0x01    0x01    0x01    0x45    0x45
      1128    0x00    0x01    0x01    0x45    0x45
      1132    0x01    0x00    0x01    0x46    0x46
      1136    0x00    0x00    0x01    0x46    0x46
      1140    0x01    0x01    0x01    0x46    0x46
      1144    0x00    0x01    0x01    0x46    0x46
      1148    0x01    0x00    0x01    0x47    0x47
      1152    0x00    0x00    0x01    0x47    0x47
      1156    0x01    0x01    0x01    0x47    0x47
      1160    0x00    0x01    0x01    0x47    0x47
      1164    0x01    0x00    0x01    0x48    0x48
      1168    0x00    0x00    0x01    0x48    0x48
      1172    0x01    0x01    0x01    0x48    0x48
      1176    0x00    0x01    0x01    0x48    0x48
      1180    0x01    0x00    0x01    0x49    0x49
      1184    0x00    0x00    0x01    0x49    0x49
      1188    0x01    0x01    0x01    0x49    0x49
      1192    0x00    0x01    0x01    0x49    0x49
      1196    0x01    0x00    0x01    0x4a    0x4a
      1200    0x00    0x00    0x01    0x4a    0x4a
      1204    0x01    0x01    0x01    0x4a    0x4a
      1208    0x00    0x01    0x01    0x4a    0x4a
      1212    0x01    0x00    0x01    0x4b    0x4b
      1216    0x00    0x00    0x01    0x4b    0x4b
      1220    0x01    0x01    0x01    0x4b    0x4b
      1224    0x00    0x01    0x01    0x4b    0x4b
      1228    0x01    0x00    0x01    0x4c    0x4c
      1232    0x00    0x00    0x01    0x4c    0x4c
      1236    0x01    0x01    0x01    0x4c    0x4c
      1240    0x00    0x01    0x01    0x4c    0x4c
      1244    0x01    0x00    0x01    0x4d    0x4d
      1248    0x00    0x00    0x01    0x4d    0x4d
      1252    0x01    0x01    0x01    0x4d    0x4d
      1256    0x00    0x01    0x01    0x4d    0x4d
      1260    0x01    0x00    0x01    0x4e    0x4e
      1264    0x00    0x00    0x01    0x4e    0x4e
      1268    0x01    0x01    0x01    0x4e    0x4e
      1272    0x00    0x01    0x01    0x4e    0x4e
      1276    0x01    0x00    0x01    0x4f    0x4f
      1280    0x00    0x00    0x01    0x4f    0x4f
      1284    0x01    0x01    0x01    0x4f    0x4f
      1288    0x00    0x01    0x01    0x4f    0x4f
      1292    0x01    0x00    0x01    0x50    0x50
      1296    0x00    0x00    0x01    0x50    0x50
      1300    0x01    0x01    0x01    0x50    0x50
      1304    0x00    0x01    0x01    0x50    0x50
      1308    0x01    0x00    0x01    0x51    0x51
      1312    0x00    0x00    0x01    0x51    0x51
      1316    0x01    0x01    0x01    0x51    0x51
      1320    0x00    0x01    0x01    0x51    0x51
      1324    0x01    0x00    0x01    0x52    0x52
      1328    0x00    0x00    0x01    0x52    0x52
      1332    0x01    0x01    0x01    0x52    0x52
      1336    0x00    0x01    0x01    0x52    0x52
      1340    0x01    0x00    0x01    0x53    0x53
      1344    0x00    0x00    0x01    0x53    0x53
      1348    0x01    0x01    0x01    0x53    0x53
      1352    0x00    0x01    0x01    0x53    0x53
      1356    0x01    0x00    0x01    0x54    0x54
      1360    0x00    0x00    0x01    0x54    0x54
      1364    0x01    0x01    0x01    0x54    0x54
      1368    0x00    0x01    0x01    0x54    0x54
      1372    0x01    0x00    0x01    0x55    0x55
      1376    0x00    0x00    0x01    0x55    0x55
      1380    0x01    0x01    0x01    0x55    0x55
      1384    0x00    0x01    0x01    0x55    0x55
      1388    0x01    0x00    0x01    0x56    0x56
      1392    0x00    0x00    0x01    0x56    0x56
      1396    0x01    0x01    0x01    0x56    0x56
      1400    0x00    0x01    0x01    0x56    0x56
      1404    0x01    0x00    0x01    0x57    0x57
      1408    0x00    0x00    0x01    0x57    0x57
      1412    0x01    0x01    0x01    0x57    0x57
      1416    0x00    0x01    0x01    0x57    0x57
      1420    0x01    0x00    0x01    0x58    0x58
      1424    0x00    0x00    0x01    0x58    0x58
      1428    0x01    0x01    0x01    0x58    0x58
      1432    0x00    0x01    0x01    0x58    0x58
      1436    0x01    0x00    0x01    0x59    0x59
      1440    0x00    0x00    0x01    0x59    0x59
      1444    0x01    0x01    0x01    0x59    0x59
      1448    0x00    0x01    0x01    0x59    0x59
      1452    0x01    0x00    0x01    0x5a    0x5a
      1456    0x00    0x00    0x01    0x5a    0x5a
      1460    0x01    0x01    0x01    0x5a    0x5a
      1464    0x00    0x01    0x01    0x5a    0x5a
      1468    0x01    0x00    0x01    0x5b    0x5b
      1472    0x00    0x00    0x01    0x5b    0x5b
      1476    0x01    0x01    0x01    0x5b    0x5b
      1480    0x00    0x01    0x01    0x5b    0x5b
      1484    0x01    0x00    0x01    0x5c    0x5c
      1488    0x00    0x00    0x01    0x5c    0x5c
      1492    0x01    0x01    0x01    0x5c    0x5c
      1496    0x00    0x01    0x01    0x5c    0x5c
      1500    0x01    0x00    0x01    0x5d    0x5d
      1504    0x00    0x00    0x01    0x5d    0x5d
      1508    0x01    0x01    0x01    0x5d    0x5d
      1512    0x00    0x01    0x01    0x5d    0x5d
      1516    0x01    0x00    0x01    0x5e    0x5e
      1520    0x00    0x00    0x01    0x5e    0x5e
      1524    0x01    0x01    0x01    0x5e    0x5e
      1528    0x00    0x01    0x01    0x5e    0x5e
      1532    0x01    0x00    0x01    0x5f    0x5f
      1536    0x00    0x00    0x01    0x5f    0x5f
      1540    0x01    0x01    0x01    0x5f    0x5f
      1544    0x00    0x01    0x01    0x5f    0x5f
      1548    0x01    0x00    0x01    0x60    0x60
      1552    0x00    0x00    0x01    0x60    0x60
      1556    0x01    0x01    0x01    0x60    0x60
      1560    0x00    0x01    0x01    0x60    0x60
      1564    0x01    0x00    0x01    0x61    0x61
      1568    0x00    0x00    0x01    0x61    0x61
      1572    0x01    0x01    0x01    0x61    0x61
      1576    0x00    0x01    0x01    0x61    0x61
      1580    0x01    0x00    0x01    0x62    0x62
      1584    0x00    0x00    0x01    0x62    0x62
      1588    0x01    0x01    0x01    0x62    0x62
      1592    0x00    0x01    0x01    0x62    0x62
      1596    0x01    0x00    0x01    0x63    0x63
      1600    0x00    0x00    0x01    0x63    0x63
      1604    0x01    0x01    0x01    0x63    0x63
      1608    0x00    0x01    0x01    0x63    0x63
      1612    0x01    0x00    0x01    0x64    0x64
      1616    0x00    0x00    0x01    0x64    0x64
      1620    0x01    0x01    0x01    0x64    0x64
      1624    0x00    0x01    0x01    0x64    0x64
      1628    0x01    0x00    0x01    0x65    0x65
      1632    0x00    0x00    0x01    0x65    0x65
      1636    0x01    0x01    0x01    0x65    0x65
      1640    0x00    0x01    0x01    0x65    0x65
      1644    0x01    0x00    0x01    0x66    0x66
      1648    0x00    0x00    0x01    0x66    0x66
      1652    0x01    0x01    0x01    0x66    0x66
      1656    0x00    0x01    0x01    0x66    0x66
      1660    0x01    0x00    0x01    0x67    0x67
      1664    0x00    0x00    0x01    0x67    0x67
