VCD info: dumpfile ula_not.vcd opened for output.

### Test: not
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       181    0x00    0x00    0xb5    0x4a    0x4a
       182    0x00    0x00    0xb6    0x49    0x49
       183    0x00    0x00    0xb7    0x48    0x48
       184    0x00    0x00    0xb8    0x47    0x47
       185    0x00    0x00    0xb9    0x46    0x46
       186    0x00    0x00    0xba    0x45    0x45
       187    0x00    0x00    0xbb    0x44    0x44
       188    0x00    0x00    0xbc    0x43    0x43
       189    0x00    0x00    0xbd    0x42    0x42
       190    0x00    0x00    0xbe    0x41    0x41
       191    0x00    0x00    0xbf    0x40    0x40
       192    0x00    0x00    0xc0    0x3f    0x3f
       193    0x00    0x00    0xc1    0x3e    0x3e
       194    0x00    0x00    0xc2    0x3d    0x3d
       195    0x00    0x00    0xc3    0x3c    0x3c
       196    0x00    0x00    0xc4    0x3b    0x3b
       197    0x00    0x00    0xc5    0x3a    0x3a
       198    0x00    0x00    0xc6    0x39    0x39
       199    0x00    0x00    0xc7    0x38    0x38
       200    0x00    0x00    0xc8    0x37    0x37
       201    0x00    0x00    0xc9    0x36    0x36
       202    0x00    0x00    0xca    0x35    0x35
       203    0x00    0x00    0xcb    0x34    0x34
       204    0x00    0x00    0xcc    0x33    0x33
       205    0x00    0x00    0xcd    0x32    0x32
       206    0x00    0x00    0xce    0x31    0x31
       207    0x00    0x00    0xcf    0x30    0x30
       208    0x00    0x00    0xd0    0x2f    0x2f
       209    0x00    0x00    0xd1    0x2e    0x2e
       210    0x00    0x00    0xd2    0x2d    0x2d
       211    0x00    0x00    0xd3    0x2c    0x2c
       212    0x00    0x00    0xd4    0x2b    0x2b
       213    0x00    0x00    0xd5    0x2a    0x2a
       214    0x00    0x00    0xd6    0x29    0x29
       215    0x00    0x00    0xd7    0x28    0x28
       216    0x00    0x00    0xd8    0x27    0x27
       217    0x00    0x00    0xd9    0x26    0x26
       218    0x00    0x00    0xda    0x25    0x25
       219    0x00    0x00    0xdb    0x24    0x24
       220    0x00    0x00    0xdc    0x23    0x23
       221    0x00    0x00    0xdd    0x22    0x22
       222    0x00    0x00    0xde    0x21    0x21
       223    0x00    0x00    0xdf    0x20    0x20
       224    0x00    0x00    0xe0    0x1f    0x1f
       225    0x00    0x00    0xe1    0x1e    0x1e
       226    0x00    0x00    0xe2    0x1d    0x1d
       227    0x00    0x00    0xe3    0x1c    0x1c
       228    0x00    0x00    0xe4    0x1b    0x1b
       229    0x00    0x00    0xe5    0x1a    0x1a
       230    0x00    0x00    0xe6    0x19    0x19
       231    0x00    0x00    0xe7    0x18    0x18
       232    0x00    0x00    0xe8    0x17    0x17
       233    0x00    0x00    0xe9    0x16    0x16
       234    0x00    0x00    0xea    0x15    0x15
       235    0x00    0x00    0xeb    0x14    0x14
       236    0x00    0x00    0xec    0x13    0x13
       237    0x00    0x00    0xed    0x12    0x12
       238    0x00    0x00    0xee    0x11    0x11
       239    0x00    0x00    0xef    0x10    0x10
       240    0x00    0x00    0xf0    0x0f    0x0f
       241    0x00    0x00    0xf1    0x0e    0x0e
       242    0x00    0x00    0xf2    0x0d    0x0d
       243    0x00    0x00    0xf3    0x0c    0x0c
       244    0x00    0x00    0xf4    0x0b    0x0b
       245    0x00    0x00    0xf5    0x0a    0x0a
       246    0x00    0x00    0xf6    0x09    0x09
       247    0x00    0x00    0xf7    0x08    0x08
       248    0x00    0x00    0xf8    0x07    0x07
       249    0x00    0x00    0xf9    0x06    0x06
       250    0x00    0x00    0xfa    0x05    0x05
       251    0x00    0x00    0xfb    0x04    0x04
       252    0x00    0x00    0xfc    0x03    0x03
       253    0x00    0x00    0xfd    0x02    0x02
       254    0x00    0x00    0xfe    0x01    0x01
       255    0x00    0x00    0xff    0x00    0x00

      TIME   ULA_OP     A       B    RESULT EXPECTED
       256    0x00    0x01    0x00    0xff    0xff
       257    0x00    0x01    0x01    0xfe    0xfe
       258    0x00    0x01    0x02    0xfd    0xfd
       259    0x00    0x01    0x03    0xfc    0xfc
       260    0x00    0x01    0x04    0xfb    0xfb
       261    0x00    0x01    0x05    0xfa    0xfa
       262    0x00    0x01    0x06    0xf9    0xf9
       263    0x00    0x01    0x07    0xf8    0xf8
       264    0x00    0x01    0x08    0xf7    0xf7
       265    0x00    0x01    0x09    0xf6    0xf6
       266    0x00    0x01    0x0a    0xf5    0xf5
       267    0x00    0x01    0x0b    0xf4    0xf4
       268    0x00    0x01    0x0c    0xf3    0xf3
       269    0x00    0x01    0x0d    0xf2    0xf2
       270    0x00    0x01    0x0e    0xf1    0xf1
       271    0x00    0x01    0x0f    0xf0    0xf0
       272    0x00    0x01    0x10    0xef    0xef
       273    0x00    0x01    0x11    0xee    0xee
       274    0x00    0x01    0x12    0xed    0xed
       275    0x00    0x01    0x13    0xec    0xec
       276    0x00    0x01    0x14    0xeb    0xeb
       277    0x00    0x01    0x15    0xea    0xea
       278    0x00    0x01    0x16    0xe9    0xe9
       279    0x00    0x01    0x17    0xe8    0xe8
       280    0x00    0x01    0x18    0xe7    0xe7
       281    0x00    0x01    0x19    0xe6    0xe6
       282    0x00    0x01    0x1a    0xe5    0xe5
       283    0x00    0x01    0x1b    0xe4    0xe4
       284    0x00    0x01    0x1c    0xe3    0xe3
       285    0x00    0x01    0x1d    0xe2    0xe2
       286    0x00    0x01    0x1e    0xe1    0xe1
       287    0x00    0x01    0x1f    0xe0    0xe0
       288    0x00    0x01    0x20    0xdf    0xdf
       289    0x00    0x01    0x21    0xde    0xde
       290    0x00    0x01    0x22    0xdd    0xdd
       291    0x00    0x01    0x23    0xdc    0xdc
       292    0x00    0x01    0x24    0xdb    0xdb
       293    0x00    0x01    0x25    0xda    0xda
       294    0x00    0x01    0x26    0xd9    0xd9
       295    0x00    0x01    0x27    0xd8    0xd8
       296    0x00    0x01    0x28    0xd7    0xd7
       297    0x00    0x01    0x29    0xd6    0xd6
       298    0x00    0x01    0x2a    0xd5    0xd5
       299    0x00    0x01    0x2b    0xd4    0xd4
       300    0x00    0x01    0x2c    0xd3    0xd3
