VCD info: dumpfile ula_sub.vcd opened for output.

### Test: sub
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       175    0x05    0x00    0xaf    0x51    0x51
       176    0x05    0x00    0xb0    0x50    0x50
       177    0x05    0x00    0xb1    0x4f    0x4f
       178    0x05    0x00    0xb2    0x4e    0x4e
       179    0x05    0x00    0xb3    0x4d    0x4d
       180    0x05    0x00    0xb4    0x4c    0x4c
       181    0x05    0x00    0xb5    0x4b    0x4b
       182    0x05    0x00    0xb6    0x4a    0x4a
       183    0x05    0x00    0xb7    0x49    0x49
       184    0x05    0x00    0xb8    0x48    0x48
       185    0x05    0x00    0xb9    0x47    0x47
       186    0x05    0x00    0xba    0x46    0x46
       187    0x05    0x00    0xbb    0x45    0x45
       188    0x05    0x00    0xbc    0x44    0x44
       189    0x05    0x00    0xbd    0x43    0x43
       190    0x05    0x00    0xbe    0x42    0x42
       191    0x05    0x00    0xbf    0x41    0x41
       192    0x05    0x00    0xc0    0x40    0x40
       193    0x05    0x00    0xc1    0x3f    0x3f
       194    0x05    0x00    0xc2    0x3e    0x3e
       195    0x05    0x00    0xc3    0x3d    0x3d
       196    0x05    0x00    0xc4    0x3c    0x3c
       197    0x05    0x00    0xc5    0x3b    0x3b
       198    0x05    0x00    0xc6    0x3a    0x3a
       199    0x05    0x00    0xc7    0x39    0x39
       200    0x05    0x00    0xc8    0x38    0x38
       201    0x05    0x00    0xc9    0x37    0x37
       202    0x05    0x00    0xca    0x36    0x36
       203    0x05    0x00    0xcb    0x35    0x35
       204    0x05    0x00    0xcc    0x34    0x34
       205    0x05    0x00    0xcd    0x33    0x33
       206    0x05    0x00    0xce    0x32    0x32
       207    0x05    0x00    0xcf    0x31    0x31
       208    0x05    0x00    0xd0    0x30    0x30
       209    0x05    0x00    0xd1    0x2f    0x2f
       210    0x05    0x00    0xd2    0x2e    0x2e
       211    0x05    0x00    0xd3    0x2d    0x2d
       212    0x05    0x00    0xd4    0x2c    0x2c
       213    0x05    0x00    0xd5    0x2b    0x2b
       214    0x05    0x00    0xd6    0x2a    0x2a
       215    0x05    0x00    0xd7    0x29    0x29
       216    0x05    0x00    0xd8    0x28    0x28
       217    0x05    0x00    0xd9    0x27    0x27
       218    0x05    0x00    0xda    0x26    0x26
       219    0x05    0x00    0xdb    0x25    0x25
       220    0x05    0x00    0xdc    0x24    0x24
       221    0x05    0x00    0xdd    0x23    0x23
       222    0x05    0x00    0xde    0x22    0x22
       223    0x05    0x00    0xdf    0x21    0x21
       224    0x05    0x00    0xe0    0x20    0x20
       225    0x05    0x00    0xe1    0x1f    0x1f
       226    0x05    0x00    0xe2    0x1e    0x1e
       227    0x05    0x00    0xe3    0x1d    0x1d
       228    0x05    0x00    0xe4    0x1c    0x1c
       229    0x05    0x00    0xe5    0x1b    0x1b
       230    0x05    0x00    0xe6    0x1a    0x1a
       231    0x05    0x00    0xe7    0x19    0x19
       232    0x05    0x00    0xe8    0x18    0x18
       233    0x05    0x00    0xe9    0x17    0x17
       234    0x05    0x00    0xea    0x16    0x16
       235    0x05    0x00    0xeb    0x15    0x15
       236    0x05    0x00    0xec    0x14    0x14
       237    0x05    0x00    0xed    0x13    0x13
       238    0x05    0x00    0xee    0x12    0x12
       239    0x05    0x00    0xef    0x11    0x11
       240    0x05    0x00    0xf0    0x10    0x10
       241    0x05    0x00    0xf1    0x0f    0x0f
       242    0x05    0x00    0xf2    0x0e    0x0e
       243    0x05    0x00    0xf3    0x0d    0x0d
       244    0x05    0x00    0xf4    0x0c    0x0c
       245    0x05    0x00    0xf5    0x0b    0x0b
       246    0x05    0x00    0xf6    0x0a    0x0a
       247    0x05    0x00    0xf7    0x09    0x09
       248    0x05    0x00    0xf8    0x08    0x08
       249    0x05    0x00    0xf9    0x07    0x07
       250    0x05    0x00    0xfa    0x06    0x06
       251    0x05    0x00    0xfb    0x05    0x05
       252    0x05    0x00    0xfc    0x04    0x04
       253    0x05    0x00    0xfd    0x03    0x03
       254    0x05    0x00    0xfe    0x02    0x02
       255    0x05    0x00    0xff    0x01    0x01

      TIME   ULA_OP     A       B    RESULT EXPECTED
       256    0x05    0x01    0x00    0x01    0x01
       257    0x05    0x01    0x01    0x00    0x00
       258    0x05    0x01    0x02    0xff    0xff
       259    0x05    0x01    0x03    0xfe    0xfe
       260    0x05    0x01    0x04    0xfd    0xfd
       261    0x05    0x01    0x05    0xfc    0xfc
       262    0x05    0x01    0x06    0xfb    0xfb
       263    0x05    0x01    0x07    0xfa    0xfa
       264    0x05    0x01    0x08    0xf9    0xf9
       265    0x05    0x01    0x09    0xf8    0xf8
       266    0x05    0x01    0x0a    0xf7    0xf7
       267    0x05    0x01    0x0b    0xf6    0xf6
       268    0x05    0x01    0x0c    0xf5    0xf5
       269    0x05    0x01    0x0d    0xf4    0xf4
       270    0x05    0x01    0x0e    0xf3    0xf3
       271    0x05    0x01    0x0f    0xf2    0xf2
       272    0x05    0x01    0x10    0xf1    0xf1
       273    0x05    0x01    0x11    0xf0    0xf0
       274    0x05    0x01    0x12    0xef    0xef
       275    0x05    0x01    0x13    0xee    0xee
       276    0x05    0x01    0x14    0xed    0xed
       277    0x05    0x01    0x15    0xec    0xec
       278    0x05    0x01    0x16    0xeb    0xeb
       279    0x05    0x01    0x17    0xea    0xea
       280    0x05    0x01    0x18    0xe9    0xe9
       281    0x05    0x01    0x19    0xe8    0xe8
       282    0x05    0x01    0x1a    0xe7    0xe7
       283    0x05    0x01    0x1b    0xe6    0xe6
       284    0x05    0x01    0x1c    0xe5    0xe5
       285    0x05    0x01    0x1d    0xe4    0xe4
       286    0x05    0x01    0x1e    0xe3    0xe3
       287    0x05    0x01    0x1f    0xe2    0xe2
       288    0x05    0x01    0x20    0xe1    0xe1
       289    0x05    0x01    0x21    0xe0    0xe0
       290    0x05    0x01    0x22    0xdf    0xdf
       291    0x05    0x01    0x23    0xde    0xde
       292    0x05    0x01    0x24    0xdd    0xdd
       293    0x05    0x01    0x25    0xdc    0xdc
       294    0x05    0x01    0x26    0xdb    0xdb
       295    0x05    0x01    0x27    0xda    0xda
       296    0x05    0x01    0x28    0xd9    0xd9
       297    0x05    0x01    0x29    0xd8    0xd8
       298    0x05    0x01    0x2a    0xd7    0xd7
       299    0x05    0x01    0x2b    0xd6    0xd6
       300    0x05    0x01    0x2c    0xd5    0xd5
       301    0x05    0x01    0x2d    0xd4    0xd4
       302    0x05    0x01    0x2e    0xd3    0xd3
       303    0x05    0x01    0x2f    0xd2    0xd2
       304    0x05    0x01    0x30    0xd1    0xd1
       305    0x05    0x01    0x31    0xd0    0xd0
       306    0x05    0x01    0x32    0xcf    0xcf
       307    0x05    0x01    0x33    0xce    0xce
       308    0x05    0x01    0x34    0xcd    0xcd
       309    0x05    0x01    0x35    0xcc    0xcc
       310    0x05    0x01    0x36    0xcb    0xcb
       311    0x05    0x01    0x37    0xca    0xca
       312    0x05    0x01    0x38    0xc9    0xc9
       313    0x05    0x01    0x39    0xc8    0xc8
       314    0x05    0x01    0x3a    0xc7    0xc7
       315    0x05    0x01    0x3b    0xc6    0xc6
       316    0x05    0x01    0x3c    0xc5    0xc5
       317    0x05    0x01    0x3d    0xc4    0xc4
       318    0x05    0x01    0x3e    0xc3    0xc3
       319    0x05    0x01    0x3f    0xc2    0xc2
       320    0x05    0x01    0x40    0xc1    0xc1
       321    0x05    0x01    0x41    0xc0    0xc0
       322    0x05    0x01    0x42    0xbf    0xbf
       323    0x05    0x01    0x43    0xbe    0xbe
       324    0x05    0x01    0x44    0xbd    0xbd
       325    0x05    0x01    0x45    0xbc    0xbc
       326    0x05    0x01    0x46    0xbb    0xbb
       327    0x05    0x01    0x47    0xba    0xba
       328    0x05    0x01    0x48    0xb9    0xb9
       329    0x05    0x01    0x49    0xb8    0xb8
       330    0x05    0x01    0x4a    0xb7    0xb7
       331    0x05    0x01    0x4b    0xb6    0xb6
       332    0x05    0x01    0x4c    0xb5    0xb5
       333    0x05    0x01    0x4d    0xb4    0xb4
       334    0x05    0x01    0x4e    0xb3    0xb3
       335    0x05    0x01    0x4f    0xb2    0xb2
       336    0x05    0x01    0x50    0xb1    0xb1
       337    0x05    0x01    0x51    0xb0    0xb0
       338    0x05    0x01    0x52    0xaf    0xaf
       339    0x05    0x01    0x53    0xae    0xae
       340    0x05    0x01    0x54    0xad    0xad
       341    0x05    0x01    0x55    0xac    0xac
       342    0x05    0x01    0x56    0xab    0xab
       343    0x05    0x01    0x57    0xaa    0xaa
       344    0x05    0x01    0x58    0xa9    0xa9
       345    0x05    0x01    0x59    0xa8    0xa8
       346    0x05    0x01    0x5a    0xa7    0xa7
       347    0x05    0x01    0x5b    0xa6    0xa6
       348    0x05    0x01    0x5c    0xa5    0xa5
       349    0x05    0x01    0x5d    0xa4    0xa4
       350    0x05    0x01    0x5e    0xa3    0xa3
       351    0x05    0x01    0x5f    0xa2    0xa2
       352    0x05    0x01    0x60    0xa1    0xa1
